Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM1297022	0	0.0871932410308247	0.227383226534871	0.126149959775438	0	0.0144367813819273	0	0.0557988490131178	0.108482542529783	0	0	0.038847358657347	0.0186378768489589	0.0386019275615301	0.0972974560002471	0.0086696061387257	0.155477407905059	0	0.0230237666221706	0	0	0	0	0.444609819839659	0.895414513392421
GSM1297023	0	0	0.202296922563412	0.206460725465528	0	0.0119420049564852	0	0	0.116676816994424	0.00196607778261127	0	0.100231075208532	0.0745934841499634	0	0.034666491003039	0.110796526518526	0.0184164054985428	0	0.0751720756643239	0.0467813941946129	0	0	0.005	0.270333685971557	0.980357529283873
GSM1297024	0	0	0.341579162605649	0.113853061898208	0	0	0	0	0.0730910737599128	0	0	0.0498112432481452	0.0639713492414229	0	0.11152871827697	0.108146404185303	0.0238285062207112	0	0.0794947552586048	0	0.0346957253050731	0	0	0.503418510983323	0.863338420477019
GSM1297025	0	0	0.0648009831175417	0.138170254244422	0	0.167278210357014	0	0	0.082862564711924	0	0	0.0190546560588311	0.150840364741808	0	0.00729924241475212	0.129192439354038	0	0	0.132358761282868	0.089376774344845	0.0105532356852927	0.00821251368666366	0.27	0.0698045837071425	1.05465202871395
GSM1297026	0	0.0989468168802926	0.153873162073168	0.109774754768585	0	0	0	0	0.102401737308353	0	0	0.00762986516901244	0.023687314569562	0.193721699827616	0.095818130361842	0.112275157413052	0.0587875388948363	0	0.0279951310976967	0.015088691635984	0	0	0	0.467560361360617	0.883336021421875
GSM1297027	0	0.0861199941627844	0.198094839925127	0.198939865008256	0	0.0290898258473109	0	0.00238787591334029	0.0975141848721127	0	0	0.0788369104402706	0.0605054907510918	0	0.0164834853327834	0.104485486863863	0.017333438103255	0	0.0800630480269307	0.0301455547528738	0	0	0.001	0.350042413675489	0.943053982562813
GSM1297028	0	0	0.147859242701073	0.00285856457461408	0	0.101651012909035	0	0	0.00922684278694156	0	0	0.00797696724772573	0.0980293414968548	0.208412905954307	0.0355166806589669	0.0315588782542311	0	0	0	0.195114687695819	0	0.161794875720432	0.001	0.354213471336475	0.945720223795116
GSM1297029	0	0	0.311999241841611	0.210626780692539	0	0.0718362567648409	0.0700961526305688	0	0.0258536380593094	0	0	0.0128486783015047	0.0830718688709299	0	0.00449311507509804	0.0787223919863769	0.018204244458164	0.00686048730181201	0.0816556982341463	0.000910905831852738	0.0228205399512457	0	0	0.583487164096047	0.817105439691789
GSM1297030	0	0.0946337760451355	0.187001169991454	0.191758151717076	0	0.0145308906317375	0.0184602537783284	0	0.118655810297484	0.00752998318585574	0	0.00283130535136359	0.0572667017601959	0.0339299773018446	0.118616399661197	0.0662468350636288	0.00407699778255176	0	0	0.0844617474321464	0	0	0.001	0.380789796266499	0.928484528201056
GSM1297031	0	0.0300002293213365	0.171164884749241	0.104837067532876	0	0.130526270041132	0.0429555708360413	0.0142782471200338	0.0900396145804429	0.0576221687879563	0	0	0.0354506045329449	0	0.0578498354077217	0.165941231899058	0.0429520639149649	0	0.0386611257599564	0.0047970069857299	0.0129240785305643	0	0	0.451413277603115	0.892011494780655
GSM1297032	0	0.0465364442815091	0.306269969994905	0.178982707479687	0	0	0.00184641250339007	0.0206803552964247	0.115353979351528	0	0	0.0872081940713792	0.0337175406926878	0.0460897798951473	0.0445905304759609	0.0215745562780026	0.0249356044571263	0	0.0722139252222518	0	0	0	0	0.46225674830429	0.888488968487176
GSM1297033	0	0.0643850539659869	0.199411691352349	0.255771503584716	0	0	0	0	0.102764554156379	0	0	0.0829828593807444	0.0440633955249579	0	0.0440865700389196	0.0902079405742977	0.0196638026102363	0	0.0966626288114126	0	0	0	0.154	0.103661280457366	1.06066824246936
GSM1297034	0	0.135653599398134	0.422752883275301	0.138314485432475	0	0	0	0.00756240709074934	0.0833377148471591	0	0	0.0618370858053329	0.0145981443369782	0.0253206474484399	0.0248912779505897	0.0572381339471891	0.0225526545689372	0	0	0	0.00594096589871393	0	0	0.558161822048803	0.836147076401642
GSM1297035	0	0.0286627018430274	0.163340346120514	0.148145014028326	0	0.0574102573816593	0	0	0.122677013719908	0.0237586756027962	0	0.0361300073996794	0.0185948007355822	0	0.0306002088979399	0.230151397524243	0.0226915844784915	0	0.105378499117928	0.00272506155077235	0.00908792683452794	0.000646504764604901	0.001	0.349914539384569	0.93833191011739
GSM1297036	0	0.0451053291868984	0.369804874513921	0.0267369663754815	0.0185912216886735	0.0787193848005601	0	0	0.0487456497635237	0	0	0.0455323390647047	0.0779368786442561	0.126390151823137	0.0218690248049197	0.0360353650580282	0.0318602529207502	0.000326172293288612	0.0547052869336065	0.0176411021282518	0	0	0	0.482431981320255	0.877921310721338
GSM1297037	0	0.0490600940163269	0.16551714422513	0.134647072407747	0	0.00385964685930404	0	0.0167269680757836	0.1064847559802	0	0	0.112459484922063	0.0880956991812839	0	0.0184628488633695	0.133001643500031	0.0901890124871279	0	0.0757824070385221	0.00571322244311233	0	0	0.004	0.283546814657071	0.968589581452358
GSM1297038	0	0.0276812653810021	0.13850721124205	0.187096935594523	0	0.0676853521013669	0.0871582976378087	0	0.0710883480700246	0	0	0	0.0594940720112582	0.00646798465367817	0.131707788907314	0.0879037774519596	0	0.0632864909286551	0.0336050962247907	0	0.0194519796349241	0.0188654001606448	0	0.413411873960485	0.910238098452824
GSM1297039	0	0.0210045500887444	0.153351854307394	0.107880562123355	0	0.025872857254773	0	0	0.085423579916692	0	0	0.0764980884424701	0.0996376573494471	0	0.0135939346038914	0.220186010627942	0.066235418755721	0	0.120141498052083	0.0101739884774877	0	0	0.017	0.216755946065783	0.991735793424268
GSM1297040	0	0.131200062436145	0.185189094049263	0.0572186345641163	0	0	0	0.0264379019543438	0.0792445550581579	0	0	0.0315668886521679	0.0545214514150876	0.118306215156573	0.146038529316018	0.111838789273012	0.0122169682671973	0	0.00599162933600382	0.0242108631191125	0.0160184174028028	0	0	0.486879105739755	0.872561010556154
GSM1297041	0	0.0296294607442229	0.174915260966188	0.0986433930721135	0	0.0257181298473104	0	0.0105076774264378	0.0796443563091231	0	0	0.0972936994069487	0.118354777857635	0	0.0197164606175873	0.0734695783535202	0.123032707506781	0	0.0334173211161705	0.0995077810927327	0.0161493956832296	0	0.024	0.201251672423771	1.00369088562094
GSM1297042	0	0.136874457465106	0.473016164302855	0.0581055959310144	0	0.0404879780993839	0	0	0.0639615691393458	0	0	0.0255640291627438	0.0282492072705979	0.0457814365207203	0.0428471275740779	0.0118305315686688	0.0262422458701835	0	0.0470396570953027	0	0	0	0	0.619078051790154	0.789463694839191
GSM1297043	0	0.00711053209364205	0.0267887849876318	0.100175226983342	0	0.0922683315798491	0	0	0.0742400449997723	0	0	0.0261142523477989	0.0850379486323693	0	0	0.243262664769829	0	0.0132049547708677	0.263033398675997	0.0687638601589004	0	0	0.174	0.0971186729861171	1.04599666778147
GSM1297044	0	0.155857750127448	0.127998207773958	0.136413941587103	0	0	0	0.0192198273412634	0.171171085968055	0	0.011785184558334	0	0.0628485877319575	0.0590669323607795	0.118584181494834	0.0468628737889062	0.030728676956463	0	0.0594627503108983	0	0	0	0	0.524478660015904	0.853360151350793
