"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LRRK2",-2.24969811787709,8.64010000530726,-27.0809839413304,6.80955445960249e-89,8.11971273763001e-87,192.194954914351
"MAGEA3",2.89376293044693,8.94944465377095,10.9654831701886,2.45200575124504e-24,1.28989926078732e-23,43.9813926148294
"MAPK7",-1.13835735614525,13.1435990034916,-20.4859649105561,2.13705039432593e-62,6.65910859806858e-61,131.307231358745
"MELK",1.68701883240224,11.9998908603352,15.8064073925437,4.00118973338113e-43,4.94235356155076e-42,87.0423431943011
"MKNK2",-1.49102486452514,13.3625186710894,-24.2121427610322,1.43406772419759e-77,9.16061975535649e-76,166.174759446079
"MLLT11",1.71840358100559,10.9826293659218,15.934776058373,1.20056287753426e-43,1.51540350229907e-42,88.2423931715454
"MSH6",1.02922432402235,13.1274535335196,18.1534124874559,9.18160452451238e-53,1.74148651670656e-51,109.176289124184
"MSX1",1.07767950893855,7.2422649773743,8.23120121773994,3.43690415061154e-15,1.14794524066924e-14,23.1162396477989
"MUC1",-2.43400656261638,12.1990277598929,-21.9100218160043,3.04453337145782e-68,1.26052138615496e-66,144.741208064683
"NME5",-1.80181847541899,7.85402989972067,-13.5803825174572,3.28140396550788e-34,2.75674924035106e-33,66.5926342085352
"PAK5",-1.26055384860335,6.08577442206704,-6.58041930394942,1.65620243763854e-10,4.26227867620186e-10,12.5050703143039
"PLAUR",1.81692327374301,12.1962816480447,19.1836584036798,5.07375632350245e-57,1.19880060240641e-55,118.956649730497
"PRKDC",1.03578286219739,12.8659170260708,24.4522536594082,1.56664232632782e-78,1.03398393537636e-76,168.384538214179
"PRKN",-1.29531889273743,7.56691676499069,-15.4581214720947,1.03951835408822e-41,1.19644950329613e-40,83.7954664736777
"PTGIS",-2.67515635363129,10.0131021807263,-15.2860132656346,5.17195561466388e-41,5.77798863984249e-40,82.1963005238787
"RNF183",-1.84744638156424,7.56281844497207,-10.7088656709772,2.03226013942611e-23,1.02362728397002e-22,41.8814709535985
"S100A8",-1.97450586312849,16.1281593086592,-15.2954874871107,4.73518492936825e-41,5.29665526245657e-40,82.2842345219291
"S100A9",-2.31516550558659,15.6730385460894,-15.8409714000463,2.8939554268624e-43,3.59453380311534e-42,87.3652953227145
"SCG2",1.81459011117318,7.29168983603352,11.6627407955048,6.9592865491844e-27,4.13671649115029e-26,49.80833498104
"SERPINE1",3.10130552402235,10.719203352514,23.3622631305525,3.78716060032233e-74,2.10363833842749e-72,158.311457992702
"SFRP1",-2.24148145251397,11.4321569972067,-14.0636167738334,4.08048333909154e-36,3.71606542785088e-35,70.9616692335439
"SNAI1",1.04063911452514,9.58912630865922,14.3336194341579,3.45055641294811e-37,3.2845477382645e-36,73.4222640591378
"SORT1",-1.89531422625699,12.7453318756983,-28.1165449529332,6.94817285206496e-93,1.1401377947893e-90,201.365311436462
"STK24",-1.05201251396648,13.1118583938547,-17.3677694236785,1.59967594581704e-49,2.61056605537258e-48,101.732327918449
